 frequency           gain_db             phase_rad          
 1.000000000000e-01  7.841666559488e+01 -3.059822228411e-04 
 1.148153621497e-01  7.841666546539e+01 -3.513486414622e-04 
 1.153453257821e-01  7.841666546042e+01 -3.529713783137e-04 
 1.158777356155e-01  7.841666545542e+01 -3.546016008492e-04 
 1.164126029410e-01  7.841666545036e+01 -3.562393436417e-04 
 1.169499391020e-01  7.841666544526e+01 -3.578846414237e-04 
 1.174897554940e-01  7.841666544011e+01 -3.595375290883e-04 
 1.180320635652e-01  7.841666543491e+01 -3.611980416890e-04 
 1.185768748167e-01  7.841666542967e+01 -3.628662144415e-04 
 1.191242008027e-01  7.841666542437e+01 -3.645420827236e-04 
 1.196740531307e-01  7.841666541903e+01 -3.662256820766e-04 
 1.202264434617e-01  7.841666541364e+01 -3.679170482055e-04 
 1.207813835107e-01  7.841666540820e+01 -3.696162169803e-04 
 1.213388850465e-01  7.841666540270e+01 -3.713232244361e-04 
 1.218989598925e-01  7.841666539716e+01 -3.730381067745e-04 
 1.224616199265e-01  7.841666539157e+01 -3.747609003641e-04 
 1.230268770812e-01  7.841666538592e+01 -3.764916417412e-04 
 1.235947433445e-01  7.841666538022e+01 -3.782303676107e-04 
 1.241652307592e-01  7.841666537447e+01 -3.799771148468e-04 
 1.247383514243e-01  7.841666536867e+01 -3.817319204939e-04 
 1.253141174941e-01  7.841666536281e+01 -3.834948217671e-04 
 1.258925411794e-01  7.841666535690e+01 -3.852658560533e-04 
 1.264736347471e-01  7.841666535093e+01 -3.870450609120e-04 
 1.270574105209e-01  7.841666534491e+01 -3.888324740759e-04 
 1.276438808811e-01  7.841666533883e+01 -3.906281334516e-04 
 1.282330582656e-01  7.841666533269e+01 -3.924320771208e-04 
 1.288249551693e-01  7.841666532650e+01 -3.942443433409e-04 
 1.294195841450e-01  7.841666532025e+01 -3.960649705457e-04 
 1.300169578033e-01  7.841666531395e+01 -3.978939973462e-04 
 1.306170888132e-01  7.841666530758e+01 -3.997314625319e-04 
 1.312199899019e-01  7.841666530116e+01 -4.015774050708e-04 
 1.318256738556e-01  7.841666529468e+01 -4.034318641111e-04 
 1.324341535195e-01  7.841666528814e+01 -4.052948789813e-04 
 1.330454417978e-01  7.841666528153e+01 -4.071664891916e-04 
 1.336595516546e-01  7.841666527487e+01 -4.090467344343e-04 
 1.342764961138e-01  7.841666526814e+01 -4.109356545848e-04 
 1.348962882592e-01  7.841666526135e+01 -4.128332897028e-04 
 1.355189412351e-01  7.841666525450e+01 -4.147396800323e-04 
 1.361444682466e-01  7.841666524759e+01 -4.166548660035e-04 
 1.367728825596e-01  7.841666524061e+01 -4.185788882328e-04 
 1.374041975013e-01  7.841666523357e+01 -4.205117875241e-04 
 1.380384264603e-01  7.841666522646e+01 -4.224536048695e-04 
 1.386755828872e-01  7.841666521928e+01 -4.244043814504e-04 
 1.393156802945e-01  7.841666521204e+01 -4.263641586381e-04 
 1.399587322573e-01  7.841666520474e+01 -4.283329779946e-04 
 1.406047524130e-01  7.841666519736e+01 -4.303108812740e-04 
 1.412537544623e-01  7.841666518992e+01 -4.322979104227e-04 
 1.419057521689e-01  7.841666518241e+01 -4.342941075811e-04 
 1.425607593602e-01  7.841666517483e+01 -4.362995150834e-04 
 1.432187899274e-01  7.841666516717e+01 -4.383141754598e-04 
 1.438798578256e-01  7.841666515945e+01 -4.403381314362e-04 
 1.445439770746e-01  7.841666515166e+01 -4.423714259359e-04 
 1.452111617588e-01  7.841666514379e+01 -4.444141020802e-04 
 1.458814260275e-01  7.841666513585e+01 -4.464662031893e-04 
 1.465547840956e-01  7.841666512784e+01 -4.485277727834e-04 
 1.472312502433e-01  7.841666511975e+01 -4.505988545834e-04 
 1.479108388168e-01  7.841666511159e+01 -4.526794925120e-04 
 1.485935642287e-01  7.841666510336e+01 -4.547697306945e-04 
 1.492794409579e-01  7.841666509504e+01 -4.568696134599e-04 
 1.499684835502e-01  7.841666508665e+01 -4.589791853415e-04 
 1.506607066187e-01  7.841666507818e+01 -4.610984910783e-04 
 1.513561248436e-01  7.841666506964e+01 -4.632275756158e-04 
