 time                   v(signal)              v(out)                 i(vin)                
 1.928000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.028000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.128000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.228000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.328000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.428000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.528000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.627999999999999e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.727999999999999e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.827999999999999e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.927999999999999e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.027999999999999e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.127999999999999e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.228000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.328000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.428000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.528000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.628000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.728000000000001e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.828000000000001e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.928000000000001e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.028000000000001e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.128000000000002e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.228000000000002e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.328000000000002e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.428000000000002e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.528000000000003e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.628000000000003e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.728000000000003e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.828000000000003e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.928000000000003e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.028000000000004e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.128000000000004e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.228000000000004e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.328000000000004e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.428000000000005e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.528000000000005e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.628000000000005e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.728000000000005e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.828000000000006e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.928000000000006e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 6.028000000000006e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 6.128000000000006e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
